hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,dropout_prob,learning_rate,batch_size,use_flash_attention,use_swiglu,use_rope,use_rms_norm,accuracy,f1,loss,perplexity,inference_time_ms,model_size_mb,total_parameters,final_train_loss
128,4,2,512,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6815815644264221,1.9770020170114408,2.4604082107543945,18.93518829345703,4963714,0.6899041421711445
128,4,2,512,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6818997187614441,1.9776311088423402,1.7566919326782227,18.93958282470703,4964866,0.6910706907510757
128,4,2,512,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6825721974372864,1.978961470861628,1.939845085144043,17.92737579345703,4699522,0.6953065358102322
128,4,2,512,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.681616226196289,1.9770705445880175,1.8411636352539062,17.93177032470703,4700674,0.6873285807669163
128,4,2,512,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6814289541244507,1.9767003291575493,1.9533872604370117,18.93518829345703,4963714,0.6919044703245163
128,4,2,512,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.683116587638855,1.980039091392062,2.126932144165039,18.93958282470703,4964866,0.6957085579633713
128,4,2,512,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6807915482521057,1.9754407702276524,2.1280765533447266,17.92737579345703,4699522,0.6947118565440178
128,4,2,512,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6815191798210144,1.976878686367726,1.359415054321289,17.93177032470703,4700674,0.6959261633455753
128,4,2,1024,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6812598729133605,1.9763661345257457,2.301812171936035,21.95081329345703,5754242,0.6918784976005554
128,4,2,1024,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6826035861968994,1.9790235889824206,1.3623237609863281,21.95520782470703,5755394,0.6958169639110565
128,4,2,1024,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6834806699752808,1.9807601198995777,2.4120330810546875,19.93518829345703,5225858,0.7010116018354893
128,4,2,1024,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.68267227268219,1.9791595258255135,1.6286134719848633,19.93958282470703,5227010,0.6974079571664333
128,4,2,1024,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6813205423355102,1.9764860431544404,2.363252639770508,21.95081329345703,5754242,0.6956664472818375
128,4,2,1024,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6830032014846802,1.9798145951019994,2.118372917175293,21.95520782470703,5755394,0.7004500031471252
128,4,2,1024,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6818195600509643,1.9774725908362352,2.2571325302124023,19.93518829345703,5225858,0.7038445435464382
128,4,2,1024,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6815029587745667,1.976846619586812,1.8547534942626953,19.93958282470703,5227010,0.6930040381848812
128,4,4,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.684153504371643,1.98209329189088,2.1153688430786133,17.42731475830078,4568450,0.6988317519426346
128,4,4,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6816890749931336,1.9772145770446994,1.7104387283325195,17.43170928955078,4569602,0.6948002241551876
128,4,4,256,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6839162259101867,1.9816230396366894,1.9112586975097656,16.92340850830078,4436354,0.6931714527308941
128,4,4,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6816736578941345,1.9771840943668004,1.5194892883300781,16.92780303955078,4437506,0.6947886385023594
128,4,4,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6830472416877746,1.9799017884588495,2.4566650390625,17.42731475830078,4568450,0.6909179985523224
128,4,4,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6877728013992309,1.9892800739549479,1.7745256423950195,17.43170928955078,4569602,0.7100273370742798
